"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
342.751129, 145.986328, 153.017578, 36.830357
350.328125, 170.156250, 143.261719, 54.408482
318.546906, 130.341797, 122.783203, 65.011162
308.351257, 136.054688, 97.734375, 82.031250
326.602325, 134.736328, 133.681641, 100.446426
340.873779, 149.589844, 145.898438, 111.328125
351.322601, 161.982422, 153.281250, 131.138397
301.446198, 135.966797, 84.638672, 34.877232
Fillin, 160.576172, 63.632813, 34.877232
333.968445, 142.119141, 140.273438, 50.502232
336.111053, 159.697266, 126.738281, 75.334824
Fillin, 170.156250, 97.646484, 75.055801
301.609009, 132.187500, 88.769531, 117.466515
Fillin, 98.437500, 85.166016, 154.017853
Fillin, 111.269531, 113.818359, 148.158478
Fillin, 109.335938, 102.832031, 121.093750
Fillin, 178.242188, 100.634766, 3.348214
Fillin, 167.958984, 71.103516, 4.464286
266.373962, 119.179688, 34.892578, 33.761162
344.034302, 164.531250, 136.933594, 33.482143
306.748840, 130.693359, 100.019531, 35.993305
295.054932, 123.662109, 84.814453, 51.618305
279.142975, 119.003906, 59.326172, 63.058037
288.217224, 146.513672, 49.042969, 3.069196
261.925476, 109.511719, 36.123047, 4.464286
278.417938, 132.275391, 44.736328, 19.810268
254.630295, 100.458984, 31.289063, 111.049110
Fillin, 87.363281, 30.322266, 143.136154
Fillin, 171.562500, 97.822266, 19.810268
Fillin, -171.474609, 179.824219, 38.783482
342.596680, 162.685547, 136.054688, 39.341518
352.924133, 165.673828, 152.666016, 61.662945
325.692932, 142.382813, 124.277344, 79.241074
343.090088, 160.400391, 139.306641, 111.049110
Fillin, 108.193359, 111.796875, 132.254471
335.480469, 138.867188, 146.337891, 146.763397
305.755005, 130.693359, 98.173828, 150.669647
270.740021, 120.673828, 41.748047, 19.531250
286.077850, 135.966797, 55.546875, 26.506697
316.948181, 127.441406, 122.607422, 37.109375
334.651306, 154.335938, 129.287109, 37.388393
305.130768, 128.935547, 98.701172, 42.131695
327.813354, 158.466797, 112.236328, 51.897320
341.533356, 158.642578, 138.076172, 75.334824
Fillin, 118.828125, 145.283203, 130.301346
356.073975, 150.908203, 173.408203, 157.087051
359.228638, 152.050781, 178.242188, 113.002235
Fillin, 117.421875, 142.294922, 175.781250
429.523773, -154.951172, -101.513672, 185.267853
309.310242, 146.777344, 88.769531, 23.716518
307.683044, 148.359375, 84.111328, 27.343750
