C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\267
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
255.243637, 110.566406, 2.724609, 454.520081, 0.034514, 0.034504
260.918579, 102.744141, 20.830078, 166.015625, 0.034530, 0.034524
268.269501, 117.158203, 19.687500, 400.948669, 0.034724, 0.034723
265.161255, 113.378906, 17.841797, 475.446442, 0.034943, 0.034952
263.609467, 110.917969, 17.490234, 374.162933, 0.035398, 0.035397
264.936371, 115.312500, 15.468750, 397.321442, 0.035617, 0.035614
249.010590, 107.490234, -5.449219, 604.073669, 0.035834, 0.035840
251.102600, 102.216797, 3.515625, 547.712036, 0.036033, 0.036047
260.199799, 110.830078, 11.425781, 338.169647, 0.036059, 0.036060
263.620056, 108.105469, 20.302734, 174.386154, 0.036078, 0.036075
259.473755, 112.412109, 8.525391, 259.207581, 0.036287, 0.036280
254.236359, 110.390625, 1.054688, 549.107117, 0.036486, 0.036489
260.307434, 114.873047, 7.558594, 194.475449, 0.036522, 0.036514
262.440582, 110.742188, 15.556641, 221.261154, 0.036729, 0.036730
255.297623, 119.882813, -6.503906, 626.395081, 0.036916, 0.036912
254.894516, 102.041016, 10.634766, 247.488846, 0.036950, 0.036943
254.316864, 110.039063, 1.582031, 334.821442, 0.037169, 0.037166
259.622131, 117.949219, 3.251953, 443.917419, 0.037384, 0.037388
255.176392, 105.644531, 7.558594, 260.044647, 0.037397, 0.037394
262.724091, 111.708984, 15.117188, 172.991074, 0.037406, 0.037405
268.587158, 117.509766, 19.863281, 316.685272, 0.037604, 0.037604
274.721497, 127.968750, 20.478516, 256.138397, 0.037832, 0.037834
251.622971, 100.283203, 6.416016, 518.973206, 0.038033, 0.038032
268.678589, 113.906250, 23.642578, 238.002228, 0.038063, 0.038051
254.148270, 113.291016, -1.933594, 518.415161, 0.038266, 0.038250
262.323334, 117.773438, 8.349609, 165.736603, 0.038506, 0.038503
263.371643, 119.970703, 7.998047, 579.520081, 0.038709, 0.038698
252.557037, 96.416016, 12.041016, 273.437500, 0.038724, 0.038725
260.208740, 105.996094, 16.259766, 135.323654, 0.038733, 0.038733
249.760147, 95.449219, 7.910156, 332.310272, 0.038936, 0.038937
261.039459, 109.511719, 14.238281, 364.676331, 0.039163, 0.039157
262.352783, 114.609375, 11.513672, 263.113831, 0.039385, 0.039385
230.836075, 81.650391, -12.480469, 590.401794, 0.039584, 0.039597
243.937820, 92.109375, 0.791016, 459.263397, 0.039608, 0.039616
256.271759, 105.996094, 9.140625, 447.544647, 0.039816, 0.039818
271.472168, 123.925781, 18.720703, 260.044647, 0.039828, 0.039825
256.997162, 102.919922, 13.535156, 247.488846, 0.040046, 0.040047
249.643890, 106.787109, -3.603516, 653.459839, 0.040249, 0.040248
249.884705, 100.810547, 2.812500, 454.520081, 0.040266, 0.040269
271.413849, 121.640625, 20.830078, 531.808044, 0.040492, 0.040479
263.089111, 116.630859, 10.810547, 325.613831, 0.040708, 0.040703
260.690033, 106.435547, 16.699219, 249.720978, 0.040714, 0.040713
232.542267, 97.734375, -25.400391, 561.104919, 0.040903, 0.040912
240.337372, 102.128906, -15.732422, 585.658508, 0.041140, 0.041147
263.315002, 116.718750, 11.162109, 440.290192, 0.041369, 0.041361
280.859497, 130.869141, 28.652344, 274.553558, 0.041389, 0.041383
267.499756, 118.125000, 17.314453, 352.399567, 0.041597, 0.041588
269.024719, 111.181641, 26.982422, 160.714279, 0.041610, 0.041604
266.057587, 116.542969, 16.259766, 564.174133, 0.041813, 0.041822
263.319336, 117.246094, 10.634766, 201.171875, 0.041827, 0.041827
258.489685, 114.960938, 4.218750, 637.276794, 0.042030, 0.042043
253.583511, 105.117188, 5.185547, 206.473221, 0.042274, 0.042269
239.906464, 95.537109, -9.931641, 663.225464, 0.042663, 0.042671
267.372894, 110.830078, 24.345703, 168.805801, 0.043158, 0.043160
261.463104, 113.730469, 10.810547, 181.361603, 0.043598, 0.043601
272.862671, 117.070313, 28.037109, 338.448669, 0.043814, 0.043812
257.377075, 108.017578, 9.140625, 335.937500, 0.044036, 0.044031
243.498291, 97.031250, -4.921875, 151.506699, 0.044047, 0.044043
259.904663, 115.839844, 5.888672, 615.234375, 0.044245, 0.044250
263.515076, 118.125000, 10.107422, 613.839294, 0.044453, 0.044457
261.272980, 105.029297, 19.160156, 445.312500, 0.044475, 0.044478
